fpga_dcop_05,3,2,3
fpga_dcop_02,2,3,4
fpga_dcop_03,2,3,4
fpga_dcop_01,2,3,4
lpi_bgprtr,6,4,4
orani678,405,407,599
adder_dcop_50,82,28,102
adder_dcop_51,82,28,102
meg1,112,230,236
msc01050,84,84,127
aircraft,9,7,11
add20,62,103,89
pde900,60,60,60
bips98_606,40,48,48
bwm200,4,4,4
n4c5-b10,14,16,18
n4c5-b11,0,0,0
CollegeMsg,578,657,757
scrs8-2b,39,22,40
scrs8-2c,39,22,40
cage9,552,646,565
cage8,199,218,214
cage5,18,15,14
cage4,10,9,9
cage7,72,97,82
cage6,40,44,39
scrs8-2r,170,22,94
qiulp,52,40,48
lock2232,48,72,77
netz4504,0,0,0
p2p-Gnutella06,1994,2170,2283
p2p-Gnutella05,2115,2227,2430
p2p-Gnutella04,2740,2903,3144
p2p-Gnutella09,1448,1531,1615
p2p-Gnutella08,1122,1156,1247
t2dal_e,0,0,0
t2dal_a,86,86,96
str_0,23,21,22
memplus,186,181,425
n3c6-b2,61,59,87
ch7-8-b2,914,744,1144
n3c6-b1,13,12,13
n3c6-b6,2449,2211,2271
n3c6-b7,2855,3052,2884
Trefethen_700,563,568,665
n3c6-b5,1945,1292,1462
n3c6-b8,2289,2223,2961
n3c6-b9,1221,1145,1671
M10PI_n1,4,4,4
G31,2001,2705,2001
G30,2000,2735,2000
G33,100,100,100
G32,0,0,0
G35,1055,1095,1216
G34,0,0,0
G37,1030,1066,1176
G36,1037,1090,1158
G39,1055,1095,1216
G38,1036,1084,1173
lpi_gosh,267,248,224
illc1033,20,15,38
qh882,16,20,8
lp_scagr25,6,6,6
slptsk,196,196,621
dwt_346,34,39,32
rgg010,10,10,10
poisson2D,37,36,38
CAG_mat364,106,110,134
cegb3024,92,104,141
dwt_162,14,14,14
