matrix,vol_mfg,vol_mmg,vol_mfgir,vol_pfg,vol_pmg,vol_pfgir,time_mfg,time_mmg,time_mfgir,time_pfg,time_pmg,time_pfgir
lp_lotfi,38,18,32,19,22,18,0.004992,0.003595,0.006069,0.002693,0.002999,0.003254
lpi_ceria3d,265,188,212,173,118,154,0.084924,0.062323,0.093143,0.055037,0.034104,0.059923
bp_600,52,36,48,37,36,37,0.012811,0.009446,0.014264,0.00643,0.00557,0.006827
gr_30_30,64,60,64,62,60,60,0.023938,0.012472,0.02443,0.008362,0.007186,0.009861
adder_dcop_52,102,82,91,28,21,28,0.055548,0.059726,0.062457,0.014115,0.011201,0.019676
adder_dcop_53,102,82,91,28,21,28,0.055308,0.056737,0.062287,0.013603,0.01131,0.014253
Trefethen_300,294,239,247,247,240,228,0.014532,0.011493,0.016937,0.005799,0.00735,0.007839
str_400,29,37,23,41,25,41,0.008177,0.006055,0.009905,0.004145,0.002753,0.004497
adder_dcop_56,102,82,91,28,21,28,0.055873,0.06106,0.062571,0.013597,0.011122,0.015165
adder_dcop_57,102,82,91,28,21,28,0.055419,0.054172,0.062391,0.013219,0.018009,0.014075
adder_dcop_54,102,82,91,28,21,28,0.055189,0.054093,0.062072,0.013155,0.011247,0.014593
adder_dcop_55,102,82,91,28,21,28,0.055716,0.054561,0.062297,0.013306,0.010581,0.014574
adder_dcop_58,102,82,91,28,21,28,0.055666,0.053692,0.062951,0.013634,0.010466,0.014716
adder_dcop_59,102,82,91,28,21,28,0.055808,0.054406,0.06226,0.014657,0.010856,0.014766
beause,478,372,288,423,301,288,0.408706,0.073163,0.408281,0.175331,0.061015,0.206778
qpband,0,0,0,0,0,0,0.009029,0.007352,0.007749,0.007499,0.007709,0.007622
lp_scsd1,14,12,14,12,13,12,0.006423,0.004718,0.006912,0.003248,0.0025,0.00356
lp_scsd6,26,20,26,21,21,21,0.008095,0.007536,0.008613,0.004512,0.003161,0.00501
lp_scsd8,16,10,10,10,12,10,0.015442,0.010521,0.018016,0.009728,0.005963,0.009349
Tina_DisCog,12,8,12,7,7,7,0.00059,0.000575,0.000622,0.000687,0.000708,0.000793
rail_1357,42,40,42,38,36,34,0.025188,0.01933,0.026607,0.010352,0.010282,0.013545
S10PI_n,6,4,6,6,4,6,0.003969,0.004111,0.004363,0.001894,0.001855,0.002183
rotor2,50,36,43,52,42,42,0.02365,0.01545,0.026436,0.011552,0.006426,0.013802
rotor1,17,15,16,15,15,15,0.003248,0.002941,0.004449,0.001974,0.001705,0.002083
mesh1e1,18,21,18,18,21,18,0.001862,0.001406,0.001925,0.001533,0.001709,0.001624
scagr7-2c,14,7,13,7,7,7,0.020262,0.018475,0.024511,0.011032,0.009215,0.012253
